Algo	Type	runs	id	iterations	Found	time											
AVM	Break 	88	3	1	 true 	1.127											
AVM	Break 	89	3	1	 true 	1.077											
AVM	Break 	90	3	1	 true 	0.803											
AVM	Break 	91	3	1	 true 	0.651											
AVM	Break 	92	3	1	 true 	0.647											
AVM	Break 	93	3	1	 true 	0.915											
AVM	Break 	94	3	1	 true 	0.655											
AVM	Break 	95	3	1	 true 	0.827											
AVM	Break 	96	3	1	 true 	0.501											
AVM	Break 	97	3	1	 true 	0.697											
AVM	Break 	98	3	1	 true 	0.977											
AVM	Break 	99	3	1	 true 	0.769											
AVM	Break 	0	4	1	 true 	0.154											
AVM	Break 	1	4	1	 true 	0.685											
AVM	Break 	2	4	1	 true 	0.233											
AVM	Break 	3	4	1	 true 	0.296											
AVM	Break 	4	4	1	 true 	0.427											
AVM	Break 	5	4	1	 true 	0.563											
AVM	Break 	6	4	1	 true 	0.672											
AVM	Break 	7	4	1	 true 	0.196											
AVM	Break 	8	4	1	 true 	0.146											
AVM	Break 	9	4	1	 true 	0.091											
AVM	Break 	10	4	1	 true 	0.200											
AVM	Break 	11	4	1	 true 	0.448											
AVM	Break 	12	4	1	 true 	0.440											
AVM	Break 	13	4	1	 true 	0.216											
AVM	Break 	14	4	1	 true 	0.683											
AVM	Break 	15	4	1	 true 	0.787											
AVM	Break 	16	4	1	 true 	0.196											
AVM	Break 	17	4	1	 true 	0.519											
AVM	Break 	18	4	1	 true 	0.698											
AVM	Break 	19	4	1	 true 	0.185											
AVM	Break 	20	4	1	 true 	0.195											
AVM	Break 	21	4	1	 true 	0.786											
AVM	Break 	22	4	1	 true 	0.522											
AVM	Break 	23	4	1	 true 	0.696											
AVM	Break 	24	4	1	 true 	0.808											
AVM	Break 	25	4	1	 true 	0.268											
AVM	Break 	26	4	1	 true 	0.549											
AVM	Break 	27	4	1	 true 	0.853											
AVM	Break 	28	4	1	 true 	0.212											
AVM	Break 	29	4	1	 true 	0.738											
AVM	Break 	30	4	1	 true 	0.149											
AVM	Break 	31	4	1	 true 	0.170											
AVM	Break 	32	4	1	 true 	0.266											
AVM	Break 	33	4	1	 true 	0.134											
AVM	Break 	34	4	1	 true 	0.808											
AVM	Break 	35	4	1	 true 	0.715											
AVM	Break 	36	4	1	 true 	0.793											
AVM	Break 	37	4	1	 true 	0.391											
AVM	Break 	38	4	1	 true 	0.460											
AVM	Break 	39	4	1	 true 	0.358											
AVM	Break 	40	4	1	 true 	0.821											
AVM	Break 	41	4	1	 true 	0.601											
AVM	Break 	42	4	1	 true 	0.638											
AVM	Break 	43	4	1	 true 	0.507											
AVM	Break 	44	4	1	 true 	0.682											
AVM	Break 	45	4	1	 true 	0.770											
AVM	Break 	46	4	1	 true 	0.663											
AVM	Break 	47	4	1	 true 	0.729											
AVM	Break 	48	4	1	 true 	0.383											
AVM	Break 	49	4	1	 true 	0.632											
AVM	Break 	50	4	1	 true 	0.652											
